	target name	taccession	query name	qaccession	fE-value	fscore	fbias	dE-value	dscore	dbias	exp	reg	clu	ov	env	dom	rep	inc	description of target	qlen	plasmid ID
2592	16S_rRNA_methyltrans	RF0001	ref|WP_000359986.1|	-	8.799999999999998e-125	408.2	6.0	9.899999999999997e-125	408.1	6.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NC_018107
2594	ABC_efflux	RF0007	ref|WP_000052512.1|	-	1e-85	281.2	3.8	1.2999999999999998e-85	280.9	3.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NC_018107
2485	NDM-CcrA	RF0108	ref|WP_004201164.1|	-	3.6999999999999994e-111	363.3	0.1	4.199999999999998e-111	363.1	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NC_021501
6344	ArmA_Rmt	RF0174	ref|WP_000855769.1|	-	3.0999999999999994e-108	353.8	0.0	3.6e-108	353.6	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NC_021501
5556	KPC	RF0083	ref|WP_004152396.1|	-	3.8999999999999984e-209	685.6	4.0	4.3999999999999975e-209	685.4	4.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP006919
6303	AAC6-Ib	RF0005	ref|WP_004152783.1|	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP006919
6348	TEM	RF0126	ref|WP_025404024.1|	-	2.7999999999999983e-200	656.3	0.0	3.099999999999999e-200	656.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP006924
5600	ClassD	RF0056	ref|WP_000722315.1|	-	8.899999999999998e-68	221.1	0.0	9.899999999999998e-68	220.9	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP006924
5352	ANT3	RF0027	ref|WP_001206315.1|	-	3.799999999999999e-167	547.0	1.1	4.299999999999999e-167	546.8	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP006924
6353	AAC6-Ib	RF0005	ref|WP_025404025.1|	-	6.899999999999998e-133	432.7	0.1	7.899999999999998e-133	432.5	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP006924
5556	KPC	RF0083	ref|WP_004152396.1|	-	3.8999999999999984e-209	685.6	4.0	4.3999999999999975e-209	685.4	4.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP006926
5706	AAC6-Ib	RF0005	ref|WP_000027045.1|	-	2.899999999999999e-133	433.9	0.1	3.2999999999999993e-133	433.7	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP006926
5352	ANT3	RF0027	ref|WP_001206315.1|	-	3.799999999999999e-167	547.0	1.1	4.299999999999999e-167	546.8	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP006926
5600	ClassD	RF0056	ref|WP_000722315.1|	-	8.899999999999998e-68	221.1	0.0	9.899999999999998e-68	220.9	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP006926
2665	TEM	RF0126	ref|WP_000027057.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP006926
2373	APH6	RF0034	ref|WP_000480968.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP006926
6331	APH3''	RF0172	ref|WP_001145207.1|	-	1.0999999999999997e-154	506.4	0.3	1.1999999999999998e-154	506.3	0.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP006926
2665	TEM	RF0126	ref|WP_000027057.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP006928
6303	AAC6-Ib	RF0005	ref|WP_004152783.1|	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008828
5894	Chlor_Acetyltrans_CAT	RF0050	ref|WP_000412211.1|	-	2.1999999999999997e-85	278.6	5.8	2.6999999999999996e-85	278.4	5.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008829
3967	ANT3	RF0027	ref|WP_001206356.1|	-	2.499999999999999e-168	550.9	0.8	2.7999999999999993e-168	550.7	0.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008829
3713	APH3	RF0033	ref|WP_000018329.1|	-	1.1999999999999996e-146	479.9	0.0	1.3e-146	479.8	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008829
5556	KPC	RF0083	ref|WP_004152396.1|	-	3.8999999999999984e-209	685.6	4.0	4.3999999999999975e-209	685.4	4.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008830
2665	TEM	RF0126	ref|WP_000027057.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008830
6303	AAC6-Ib	RF0005	ref|WP_004152783.1|	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008832
4969	KPC	RF0083	ref|WP_004199234.1|	-	3.399999999999999e-209	685.8	3.6	3.7999999999999983e-209	685.6	3.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008833
2665	TEM	RF0126	ref|WP_000027057.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008833
5542	APH3'	RF0173	ref|WP_000262467.1|	-	2.7e-81	265.9	0.0	2.9999999999999994e-81	265.8	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007732
4477	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	ref|WP_016809943.1|	-	2.1999999999999996e-183	602.2	2.3	2.599999999999999e-183	601.9	2.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007732
2594	ABC_efflux	RF0007	ref|WP_000052512.1|	-	1e-85	281.2	3.8	1.2999999999999998e-85	280.9	3.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007732
4969	KPC	RF0083	ref|WP_004199234.1|	-	3.399999999999999e-209	685.8	3.6	3.7999999999999983e-209	685.6	3.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007732
5549	SHV-LEN	RF0119	ref|WP_011117369.1|	-	9.999999999999998e-204	667.6	2.6	1.0999999999999996e-203	667.5	2.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007732
6391	AAC6-Ib	RF0005	ref|WP_013362814.1|	-	2.2999999999999992e-133	434.2	0.1	2.6999999999999995e-133	434.0	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007732
5552	AAC3-I	RF0003	ref|WP_002089484.1|	-	1.6999999999999998e-109	355.8	0.6	1.8999999999999998e-109	355.7	0.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007732
2665	TEM	RF0126	ref|WP_000027057.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007733
3971	SHV-LEN	RF0119	ref|WP_002904004.1|	-	8.199999999999996e-204	667.9	2.6	9.199999999999995e-204	667.8	2.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007733
4968	Qnr	RF0113	ref|WP_012954666.1|	-	7.299999999999999e-113	368.5	6.1	7.999999999999999e-113	368.3	6.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007733
4081	Chlor_Acetyltrans_CAT	RF0050	ref|WP_011152976.1|	-	3.0999999999999997e-85	278.2	6.3	3.6999999999999987e-85	277.9	6.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007733
6303	AAC6-Ib	RF0005	ref|WP_004152783.1|	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP009877
4805	ClassD	RF0056	ref|WP_001334766.1|	-	1.9e-85	279.0	4.1	2.2999999999999997e-85	278.7	4.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP009879
4806	AAC6-Ib	RF0005	ref|WP_001749987.1|	-	1.7999999999999997e-130	424.8	0.1	1.9999999999999994e-130	424.7	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP009879
4181	TetA	RF0127	ref|WP_000804064.1|	-	1.899999999999999e-212	698.2	25.7	2.0999999999999994e-212	698.0	25.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP009879
4768	Qnr	RF0113	ref|WP_014386481.1|	-	1.3999999999999997e-114	374.1	6.6	1.4999999999999997e-114	374.0	6.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP009879
4807	AAC3	RF0002	ref|WP_001199192.1|	-	4.099999999999999e-90	294.5	0.0	5.9999999999999995e-90	294.0	0.0	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008798
4969	KPC	RF0083	ref|WP_004199234.1|	-	3.399999999999999e-209	685.8	3.6	3.7999999999999983e-209	685.6	3.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008798
2665	TEM	RF0126	ref|WP_000027057.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008798
6303	AAC6-Ib	RF0005	ref|WP_004152783.1|	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008798
3967	ANT3	RF0027	ref|WP_001206356.1|	-	2.499999999999999e-168	550.9	0.8	2.7999999999999993e-168	550.7	0.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008798
6303	AAC6-Ib	RF0005	ref|WP_004152783.1|	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008799
3971	SHV-LEN	RF0119	ref|WP_002904004.1|	-	8.199999999999996e-204	667.9	2.6	9.199999999999995e-204	667.8	2.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008799
6417	Chlor_Acetyltrans_CAT	RF0050	ref|WP_077255394.1|	-	4.8e-48	156.6	3.6	5.299999999999999e-48	156.5	3.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008800
2874	ANT3	RF0027	ref|WP_001261740.1|	-	6.399999999999998e-168	549.5	0.9	7.199999999999997e-168	549.4	0.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008800
6420	Chlor_Efflux_Pump	RF0051	ref|WP_000095725.1|	-	1.7999999999999995e-180	593.2	41.4	2.1e-180	592.9	41.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008800
2590	ANT3	RF0027	ref|WP_001206316.1|	-	4.3999999999999984e-169	553.4	1.1	4.899999999999998e-169	553.2	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008800
5542	APH3'	RF0173	ref|WP_000262467.1|	-	2.7e-81	265.9	0.0	2.9999999999999994e-81	265.8	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008790
4477	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	ref|WP_016809943.1|	-	2.1999999999999996e-183	602.2	2.3	2.599999999999999e-183	601.9	2.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008790
4971	CARB-PSE	RF0044	ref|WP_001931474.1|	-	4.399999999999999e-186	610.1	0.6	4.899999999999999e-186	609.9	0.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008790
2874	ANT3	RF0027	ref|WP_001261740.1|	-	6.399999999999998e-168	549.5	0.9	7.199999999999997e-168	549.4	0.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008790
4975	Chlor_Efflux_Pump	RF0051	ref|WP_001256774.1|	-	9.099999999999997e-181	594.1	40.9	1.0999999999999999e-180	593.9	40.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008790
4976	Chlor_Acetyltrans_CAT	RF0050	ref|WP_000800689.1|	-	2.7e-50	163.9	0.0	3.4e-50	163.6	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008790
4764	Qnr	RF0113	ref|WP_012579084.1|	-	8.599999999999998e-136	443.4	12.0	9.599999999999998e-136	443.3	12.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008790
4085	Chlor_Acetyltrans_CAT	RF0050	ref|WP_000186237.1|	-	2.5e-53	173.8	0.0	3.1999999999999996e-53	173.5	0.0	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008790
2594	ABC_efflux	RF0007	ref|WP_000052512.1|	-	1e-85	281.2	3.8	1.2999999999999998e-85	280.9	3.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008790
2374	APH3''	RF0172	ref|WP_001082319.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008791
2373	APH6	RF0034	ref|WP_000480968.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008791
6439	ClassA	RF0053	ref|WP_001700172.1|	-	9.099999999999998e-83	270.5	0.1	1e-82	270.3	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008791
4969	KPC	RF0083	ref|WP_004199234.1|	-	3.399999999999999e-209	685.8	3.6	3.7999999999999983e-209	685.6	3.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008791
5706	AAC6-Ib	RF0005	ref|WP_000027045.1|	-	2.899999999999999e-133	433.9	0.1	3.2999999999999993e-133	433.7	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008791
5352	ANT3	RF0027	ref|WP_001206315.1|	-	3.799999999999999e-167	547.0	1.1	4.299999999999999e-167	546.8	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008791
5600	ClassD	RF0056	ref|WP_000722315.1|	-	8.899999999999998e-68	221.1	0.0	9.899999999999998e-68	220.9	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008791
4969	KPC	RF0083	ref|WP_004199234.1|	-	3.399999999999999e-209	685.8	3.6	3.7999999999999983e-209	685.6	3.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008791
6303	AAC6-Ib	RF0005	ref|WP_004152783.1|	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007728
5894	Chlor_Acetyltrans_CAT	RF0050	ref|WP_000412211.1|	-	2.1999999999999997e-85	278.6	5.8	2.6999999999999996e-85	278.4	5.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007729
3967	ANT3	RF0027	ref|WP_001206356.1|	-	2.499999999999999e-168	550.9	0.8	2.7999999999999993e-168	550.7	0.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007729
3713	APH3	RF0033	ref|WP_000018329.1|	-	1.1999999999999996e-146	479.9	0.0	1.3e-146	479.8	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007729
5556	KPC	RF0083	ref|WP_004152396.1|	-	3.8999999999999984e-209	685.6	4.0	4.3999999999999975e-209	685.4	4.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007730
2665	TEM	RF0126	ref|WP_000027057.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP007730
3974	TetD	RF0130	ref|WP_001039466.1|	-	1.3999999999999993e-269	886.3	34.1	1.599999999999999e-269	886.1	34.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008930
2373	APH6	RF0034	ref|WP_000480968.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008932
2374	APH3''	RF0172	ref|WP_001082319.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008932
3718	CTXM	RF0059	ref|WP_000239590.1|	-	1.4999999999999994e-192	631.1	4.4	1.6999999999999992e-192	631.0	4.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008933
4805	ClassD	RF0056	ref|WP_001334766.1|	-	1.9e-85	279.0	4.1	2.2999999999999997e-85	278.7	4.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008933
4806	AAC6-Ib	RF0005	ref|WP_001749987.1|	-	1.7999999999999997e-130	424.8	0.1	1.9999999999999994e-130	424.7	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008933
2485	NDM-CcrA	RF0108	ref|WP_004201164.1|	-	3.6999999999999994e-111	363.3	0.1	4.199999999999998e-111	363.1	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008933
2485	NDM-CcrA	RF0108	ref|WP_004201164.1|	-	3.6999999999999994e-111	363.3	0.1	4.199999999999998e-111	363.1	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008933
2485	NDM-CcrA	RF0108	ref|WP_004201164.1|	-	3.6999999999999994e-111	363.3	0.1	4.199999999999998e-111	363.1	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008933
4768	Qnr	RF0113	ref|WP_014386481.1|	-	1.3999999999999997e-114	374.1	6.6	1.4999999999999997e-114	374.0	6.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008933
3967	ANT3	RF0027	ref|WP_001206356.1|	-	2.499999999999999e-168	550.9	0.8	2.7999999999999993e-168	550.7	0.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008933
2592	16S_rRNA_methyltrans	RF0001	ref|WP_000359986.1|	-	8.799999999999998e-125	408.2	6.0	9.899999999999997e-125	408.1	6.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008933
2594	ABC_efflux	RF0007	ref|WP_000052512.1|	-	1e-85	281.2	3.8	1.2999999999999998e-85	280.9	3.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008933
5894	Chlor_Acetyltrans_CAT	RF0050	ref|WP_000412211.1|	-	2.1999999999999997e-85	278.6	5.8	2.6999999999999996e-85	278.4	5.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP008933
6303	AAC6-Ib	RF0005	ref|WP_004152783.1|	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP009873
6214	ANT3	RF0027	ref|WP_040120354.1|	-	1.5999999999999996e-168	551.5	0.9	1.7999999999999992e-168	551.4	0.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP009874
4969	KPC	RF0083	ref|WP_004199234.1|	-	3.399999999999999e-209	685.8	3.6	3.7999999999999983e-209	685.6	3.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP009875
2665	TEM	RF0126	ref|WP_000027057.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP009875
5556	KPC	RF0083	ref|WP_004152396.1|	-	3.8999999999999984e-209	685.6	4.0	4.3999999999999975e-209	685.4	4.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP009864
5706	AAC6-Ib	RF0005	ref|WP_000027045.1|	-	2.899999999999999e-133	433.9	0.1	3.2999999999999993e-133	433.7	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP009864
5352	ANT3	RF0027	ref|WP_001206315.1|	-	3.799999999999999e-167	547.0	1.1	4.299999999999999e-167	546.8	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP009864
5600	ClassD	RF0056	ref|WP_000722315.1|	-	8.899999999999998e-68	221.1	0.0	9.899999999999998e-68	220.9	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP009864
6500	TEM	RF0126	ref|WP_077255806.1|	-	1.1999999999999996e-141	463.9	0.0	1.3999999999999998e-141	463.8	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP009864
2374	APH3''	RF0172	ref|WP_001082319.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010390
2373	APH6	RF0034	ref|WP_000480968.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010390
2665	TEM	RF0126	ref|WP_000027057.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010390
3718	CTXM	RF0059	ref|WP_000239590.1|	-	1.4999999999999994e-192	631.1	4.4	1.6999999999999992e-192	631.0	4.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010390
5656	AAC3	RF0002	ref|WP_000557452.1|	-	2.0999999999999995e-146	479.3	0.6	2.2999999999999996e-146	479.2	0.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010390
4805	ClassD	RF0056	ref|WP_001334766.1|	-	1.9e-85	279.0	4.1	2.2999999999999997e-85	278.7	4.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010390
4806	AAC6-Ib	RF0005	ref|WP_001749987.1|	-	1.7999999999999997e-130	424.8	0.1	1.9999999999999994e-130	424.7	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010390
4181	TetA	RF0127	ref|WP_000804064.1|	-	1.899999999999999e-212	698.2	25.7	2.0999999999999994e-212	698.0	25.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010390
4768	Qnr	RF0113	ref|WP_014386481.1|	-	1.3999999999999997e-114	374.1	6.6	1.4999999999999997e-114	374.0	6.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010390
4085	Chlor_Acetyltrans_CAT	RF0050	ref|WP_000186237.1|	-	2.5e-53	173.8	0.0	3.1999999999999996e-53	173.5	0.0	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010391
6517	AAC3-I	RF0003	ref|WP_039110078.1|	-	1.8e-49	160.9	0.9	2.2e-49	160.6	0.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010391
2594	ABC_efflux	RF0007	ref|WP_000052512.1|	-	1e-85	281.2	3.8	1.2999999999999998e-85	280.9	3.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010391
4976	Chlor_Acetyltrans_CAT	RF0050	ref|WP_000800689.1|	-	2.7e-50	163.9	0.0	3.4e-50	163.6	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010391
4975	Chlor_Efflux_Pump	RF0051	ref|WP_001256774.1|	-	9.099999999999997e-181	594.1	40.9	1.0999999999999999e-180	593.9	40.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010391
2874	ANT3	RF0027	ref|WP_001261740.1|	-	6.399999999999998e-168	549.5	0.9	7.199999999999997e-168	549.4	0.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010391
4971	CARB-PSE	RF0044	ref|WP_001931474.1|	-	4.399999999999999e-186	610.1	0.6	4.899999999999999e-186	609.9	0.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010391
2483	APH3'	RF0173	ref|WP_014386410.1|	-	1.2999999999999998e-88	290.0	1.0	1.3999999999999996e-88	289.8	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010391
2485	NDM-CcrA	RF0108	ref|WP_004201164.1|	-	3.6999999999999994e-111	363.3	0.1	4.199999999999998e-111	363.1	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010391
6303	AAC6-Ib	RF0005	ref|WP_004152783.1|	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010362
2665	TEM	RF0126	ref|WP_000027057.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010362
4969	KPC	RF0083	ref|WP_004199234.1|	-	3.399999999999999e-209	685.8	3.6	3.7999999999999983e-209	685.6	3.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010362
4807	AAC3	RF0002	ref|WP_001199192.1|	-	4.099999999999999e-90	294.5	0.0	5.9999999999999995e-90	294.0	0.0	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010362
2590	ANT3	RF0027	ref|WP_001206316.1|	-	4.3999999999999984e-169	553.4	1.1	4.899999999999998e-169	553.2	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010362
6420	Chlor_Efflux_Pump	RF0051	ref|WP_000095725.1|	-	1.7999999999999995e-180	593.2	41.4	2.1e-180	592.9	41.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010362
2874	ANT3	RF0027	ref|WP_001261740.1|	-	6.399999999999998e-168	549.5	0.9	7.199999999999997e-168	549.4	0.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010362
5894	Chlor_Acetyltrans_CAT	RF0050	ref|WP_000412211.1|	-	2.1999999999999997e-85	278.6	5.8	2.6999999999999996e-85	278.4	5.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010393
3967	ANT3	RF0027	ref|WP_001206356.1|	-	2.499999999999999e-168	550.9	0.8	2.7999999999999993e-168	550.7	0.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0			NZ_CP010393
